S.No,Product_name,Selling_price,Original_price,Ratings_count,Reviews_count,Display,Camera,Processor,Warranty,Battery,Info,RAM,ROM,Is_Expandable,Expandable_Upto,Colours,Discount,Warranty Status
64,Apple iPhone 7,34900,,94871,9105,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,,,,128 GB,No,,"Black, Gold, Jet Black, Red, Rose Gold, Silver",No discount,YES
65,Apple iPhone 8,39900,,11364,797,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",,,iOS 13 Compatible,,64 GB,No,,"Gold, PRODUCT, Silver, Space Grey",No discount,Warranty Not available
66,Apple iPhone 6,30780,31900,145094,16051,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,Apple A8 64-bit processor and M8 Motion Co-processor,Brand Warranty of 1 Year,,,,32 GB,No,,"Gold, Space Grey",3.5,YES
67,Apple iPhone X,106900,,10941,855,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year,,,,256 GB,No,,"Silver, Space Gray",No discount,YES
68,Apple iPhone XR,44999,52900,100802,8455,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,,,iOS 13 Compatible,,128 GB,No,,"Black, Blue, Coral, White, Yellow",14.9,Warranty Not available
69,Apple iPhone 7 Plus,37900,,29728,2964,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,1 Year Manufacturer Warranty,,,,32 GB,No,,"Black, Gold, Jet Black, Rose Gold, Silver",No discount,YES
70,Apple iPhone X,91900,,10941,855,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",,,iOS 13 Compatible,,64 GB,No,,"Silver, Space Gray",No discount,Warranty Not available
71,Apple iPhone 13 Pro,169900,,1596,120,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,1 TB,No,,"Alpine Green, Gold, Graphite, Sierra Blue, Silver",No discount,YES
72,Apple iPhone 8 Plus,49900,76294,267,23,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",Brand Warranty of 1 Year,,,,64 GB,No,,PRODUCT,34.6,YES
73,Apple iPhone 6,71500,,145094,16051,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 Chip with 64-bit Architecture and M8 Motion Co-processor,1 Year Manufacturer Warranty,,,,128 GB,No,,"Gold, Grey, Silver",No discount,YES
74,Apple iPhone XS,89900,,11906,861,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,1 Year Limited Warranty for Products and Accessories,,,,64 GB,No,,"Gold, Silver, Space Grey",No discount,YES
75,Apple IPhone 4,22900,,1095,183,8.89 cm (3.5 inch) NA Display,5MP Rear Camera | 0.3MP Front Camera,,1 Year Manufacturer Warranty,,,,8 GB,No,,"Black, White",No discount,YES
76,Apple iPhone 6,62000,,145094,16051,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 Chip with 64-bit Architecture and M8 Motion Co-processor,1 Year Manufacturer Warranty,,,,64 GB,No,,"Gold, Silver, Space Grey",No discount,YES
