Product_name,Colour,Specification,Selling_price,Original_price,Ratings_count,Reviews_count
Apple iPhone 16 Pro,Black Titanium,"{'ROM': '1 TB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",159900,,29038,1248
Apple iPhone 16 Pro,Natural Titanium,"{'ROM': '1 TB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",159900,,29038,1248
Apple iPhone 16,Teal,"{'ROM': '512 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",94900,99900,203686,6511
Apple iPhone 14,Purple,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",54900,,321494,11935
Apple iPhone 15 Plus,Green,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",69900,,47571,2598
Apple iPhone 16 Pro Max,Desert Titanium,"{'ROM': '1 TB ROM', 'Display': '17.53 cm (6.9 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",174900,,17147,886
Apple iPhone 16,Ultramarine,"{'ROM': '512 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",94900,99900,203686,6511
Apple iPhone 16 Plus,Pink,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,4225,226
Apple iPhone 15,Green,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",54900,59900,271335,9480
Apple iPhone 15 Plus,Pink,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",69900,,47571,2598
Apple iPhone 17 Pro Max,Cosmic Orange,"{'ROM': '256 GB ROM', 'Display': '17.53 cm (6.9 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",149900,,462,35
Apple iPhone Air,Space Black,"{'ROM': '256 GB ROM', 'Display': '16.51 cm (6.5 inch) Super Retina XDR Display', 'Camera': '48MP Rear Camera | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",101900,119900,65,4
Apple iPhone 16,Pink,"{'ROM': '512 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",94900,99900,203686,6511
